arrival gate|到达口
departure gate|出发口
flight status|航班状态
boarding time|登机时间
boarding line|登机队伍
security line|安检队伍
passport control|护照检查
customs form|海关表格
arrival hall|到达大厅
departure hall|出发大厅
information desk|问讯处
check-in desk|值机柜台
window seat|靠窗座位
aisle seat|靠过道座位
middle seat|中间座位
seat belt|安全带
carry-on bag|随身行李
checked luggage|托运行李
luggage cart|行李推车
luggage locker|行李寄存柜
hotel booking|酒店预订
booking number|预订号码
single room|单人房
double room|双人房
twin room|双床房
room key|房间钥匙
key card|房卡
front entrance|正门
back entrance|后门
ground floor|一楼
upper floor|楼上楼层
lower floor|楼下楼层
breakfast room|早餐厅
dining area|用餐区
room service|客房服务
extra towel|额外毛巾
extra pillow|额外枕头
clean sheet|干净床单
fresh towel|干净毛巾
quiet floor|安静楼层
city bus|市内公交
express bus|快速公交
local train|普通列车
express train|快速列车
train platform|火车站台
bus platform|公交站台
taxi queue|出租车队伍
taxi meter|出租车计价器
metro line|地铁线路
transfer station|换乘站
one-way ticket|单程票
return ticket|往返票
day pass|日票
weekly pass|周票
ticket counter|售票柜台
route map|线路图
street map|街道地图
walking route|步行路线
main road|主路
side street|支路
table for two|两人桌
table for four|四人桌
food menu|餐食菜单
drink menu|饮品菜单
daily special|今日特餐
main course|主菜
side dish|配菜
vegetarian dish|素食菜品
spicy food|辛辣食物
plain water|白水
still water|无气泡水
sparkling water|气泡水
separate bill|分开账单
service charge|服务费
cash payment|现金支付
card payment|刷卡支付
small size|小号
medium size|中号
large size|大号
fitting room|试衣间
sale price|促销价
regular price|原价
final price|最终价格
store receipt|商店收据
gift receipt|礼品收据
return period|退货期限
exchange receipt|兑换凭证
local currency|当地货币
cash machine|自动取款机
phone signal|手机信号
mobile data|移动数据
data plan|流量套餐
phone credit|电话余额
charging cable|充电线
charging point|充电点
wall socket|墙上插座
network password|网络密码
medical help|医疗帮助
medical clinic|医疗诊所
emergency room|急诊室
health problem|健康问题
allergy card|过敏说明卡
medicine label|药品标签
